instancia,n,grafo,threads,fusiones,tiempo
21386,26,completo,27,5,0.768784
21387,26,completo,28,3,0.763359
21388,26,completo,29,7,0.85131
21389,26,completo,30,6,0.836545
21390,26,completo,31,7,0.965844
21391,26,completo,32,7,0.820478
21392,26,completo,33,3,0.995115
21393,26,completo,34,6,0.920855
21394,26,completo,35,5,1.15259
21395,26,completo,36,6,1.01619
21396,26,completo,37,6,1.35963
21397,26,completo,38,6,1.02082
21398,26,completo,39,5,1.15455
21399,26,completo,40,6,1.18768
21400,26,completo,1,0,0.112844
21401,26,completo,2,1,0.157334
21402,26,completo,3,3,0.231461
21403,26,completo,4,5,0.328875
21404,26,completo,5,6,0.30834
21405,26,completo,6,7,0.400075
21406,26,completo,7,7,0.347938
21407,26,completo,8,6,0.343378
21408,26,completo,9,6,0.31329
21409,26,completo,10,6,0.360918
21410,26,completo,11,6,0.369169
21411,26,completo,12,5,0.339971
21412,26,completo,13,6,0.555543
21413,26,completo,14,6,0.416573
21414,26,completo,15,3,0.452929
21415,26,completo,16,5,0.486037
21416,26,completo,17,6,0.486011
21417,26,completo,18,5,0.538185
21418,26,completo,19,5,0.50578
21419,26,completo,20,5,0.972444
21420,26,completo,21,5,0.65128
21421,26,completo,22,5,0.629125
21422,26,completo,23,5,0.728379
21423,26,completo,24,6,0.76403
21424,26,completo,25,6,0.951679
21425,26,completo,26,7,5.6645
21426,26,completo,27,6,0.860059
21427,26,completo,28,5,0.706068
21428,26,completo,29,5,0.794017
21429,26,completo,30,3,0.777463
21430,26,completo,31,6,0.837612
21431,26,completo,32,6,1.07875
21432,26,completo,33,6,11.4524
21433,26,completo,34,6,0.988188
21434,26,completo,35,6,0.964976
21435,26,completo,36,6,1.02876
21436,26,completo,37,6,1.06781
21437,26,completo,38,6,0.985484
21438,26,completo,39,6,1.06737
21439,26,completo,40,7,1.0111
21440,26,completo,1,0,0.162708
21441,26,completo,2,1,0.143663
21442,26,completo,3,6,0.337854
21443,26,completo,4,6,0.299757
21444,26,completo,5,5,0.322663
21445,26,completo,6,5,0.284203
21446,26,completo,7,5,0.338098
21447,26,completo,8,6,0.410715
21448,26,completo,9,3,0.253329
21449,26,completo,10,3,0.297196
21450,26,completo,11,5,0.370351
21451,26,completo,12,6,0.407689
21452,26,completo,13,6,10.6638
21453,26,completo,14,5,0.511918
21454,26,completo,15,5,0.436023
21455,26,completo,16,6,0.470565
21456,26,completo,17,3,0.670676
21457,26,completo,18,7,1.69995
21458,26,completo,19,6,0.532724
21459,26,completo,20,6,0.635247
